from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1003Z1,U1003Z2,2,180,,
U1003Z2,U1003Z1,2,180,,
U1004Z1,U1461Z1,2,240,,
U1004Z1,U1461Z2,2,240,,
U1004Z1,U1461Z3,2,240,,
U1004Z1,U1461Z4,2,240,,
U1004Z2,U1461Z1,2,240,,
U1004Z2,U1461Z2,2,240,,
U1004Z2,U1461Z3,2,240,,
U1004Z2,U1461Z4,2,240,,
U1011Z1,U1011Z1,2,240,,
U1011Z1,U1011Z2,2,240,,
U1011Z1,U1011Z3,2,240,,
U1011Z1,U1011Z4,2,240,,
U1011Z1,U1011Z5,2,240,,
U1011Z1,U1011Z6,2,240,,
U1011Z1,U1011Z7,2,240,,
U1011Z1,U1011Z8,2,240,,
U1011Z1,U1011Z9,2,240,,
U1011Z1,U1011Z10,2,240,,
U1011Z1,U1011Z11,2,240,,
U1011Z1,U1011Z12,2,240,,
U1011Z1,U1011Z13,2,240,,
U1011Z1,U1146Z1,2,1200,,
U1011Z1,U1146Z2,2,1200,,
U1011Z1,U1146Z3,2,1200,,
U1011Z1,U1146Z4,2,1200,,
U1011Z1,U1146Z5,2,1200,,
U1011Z1,U1146Z6,2,1200,,
U1011Z1,U1146Z7,2,1200,,
U1011Z1,U1146Z8,2,1200,,
U1011Z1,U1146Z9,2,1200,,
U1011Z1,U1146Z10,2,1200,,
U1011Z1,U1146Z11,2,1200,,
U1011Z1,U1146Z25,2,1200,,
U1011Z1,U1146Z26,2,1200,,
U1011Z1,U1146Z31,2,1200,,
U1011Z1,U1146Z32,2,1200,,
U1011Z1,U1146Z98,2,1200,,
U1011Z1,U1146Z99,2,1200,,
U1011Z1,U1798Z1,2,420,,
U1011Z1,U1798Z2,2,420,,
U1011Z1,U1798Z3,2,420,,
U1011Z1,U1798Z5,2,420,,
U1011Z1,U1798Z6,2,420,,
U1011Z1,U1798Z8,2,420,,
U1011Z1,U1798Z9,2,420,,
U1011Z1,U1798Z61,2,420,,
U1011Z1,U1798Z62,2,420,,
U1011Z1,U10002Z1,2,120,,
U1011Z2,U1011Z1,2,240,,
U1011Z2,U1011Z2,2,240,,
U1011Z2,U1011Z3,2,240,,
U1011Z2,U1011Z4,2,240,,
U1011Z2,U1011Z5,2,240,,
U1011Z2,U1011Z6,2,240,,
U1011Z2,U1011Z7,2,240,,
U1011Z2,U1011Z8,2,240,,
U1011Z2,U1011Z9,2,240,,
U1011Z2,U1011Z10,2,240,,
U1011Z2,U1011Z11,2,240,,
U1011Z2,U1011Z12,2,240,,
U1011Z2,U1011Z13,2,240,,
U1011Z2,U1146Z1,2,1200,,
U1011Z2,U1146Z2,2,1200,,
U1011Z2,U1146Z3,2,1200,,
U1011Z2,U1146Z4,2,1200,,
U1011Z2,U1146Z5,2,1200,,
U1011Z2,U1146Z6,2,1200,,
U1011Z2,U1146Z7,2,1200,,
U1011Z2,U1146Z8,2,1200,,
U1011Z2,U1146Z9,2,1200,,
U1011Z2,U1146Z10,2,1200,,
U1011Z2,U1146Z11,2,1200,,
U1011Z2,U1146Z25,2,1200,,
U1011Z2,U1146Z26,2,1200,,
U1011Z2,U1146Z31,2,1200,,
U1011Z2,U1146Z32,2,1200,,
U1011Z2,U1146Z98,2,1200,,
U1011Z2,U1146Z99,2,1200,,
U1011Z2,U1798Z1,2,420,,
U1011Z2,U1798Z2,2,420,,
U1011Z2,U1798Z3,2,420,,
U1011Z2,U1798Z5,2,420,,
U1011Z2,U1798Z6,2,420,,
U1011Z2,U1798Z8,2,420,,
U1011Z2,U1798Z9,2,420,,
U1011Z2,U1798Z61,2,420,,
U1011Z2,U1798Z62,2,420,,
U1011Z2,U10002Z1,2,120,,
U1011Z3,U1011Z1,2,240,,
U1011Z3,U1011Z2,2,240,,
U1011Z3,U1011Z3,2,240,,
U1011Z3,U1011Z4,2,240,,
U1011Z3,U1011Z5,2,240,,
U1011Z3,U1011Z6,2,240,,
U1011Z3,U1011Z7,2,240,,
U1011Z3,U1011Z8,2,240,,
U1011Z3,U1011Z9,2,240,,
U1011Z3,U1011Z10,2,240,,
U1011Z3,U1011Z11,2,240,,
U1011Z3,U1011Z12,2,240,,
U1011Z3,U1011Z13,2,240,,
U1011Z3,U1146Z1,2,1200,,
U1011Z3,U1146Z2,2,1200,,
U1011Z3,U1146Z3,2,1200,,
U1011Z3,U1146Z4,2,1200,,
U1011Z3,U1146Z5,2,1200,,
U1011Z3,U1146Z6,2,1200,,
U1011Z3,U1146Z7,2,1200,,
U1011Z3,U1146Z8,2,1200,,
U1011Z3,U1146Z9,2,1200,,
U1011Z3,U1146Z10,2,1200,,
U1011Z3,U1146Z11,2,1200,,
U1011Z3,U1146Z25,2,1200,,
U1011Z3,U1146Z26,2,1200,,
U1011Z3,U1146Z31,2,1200,,
U1011Z3,U1146Z32,2,1200,,
U1011Z3,U1146Z98,2,1200,,
U1011Z3,U1146Z99,2,1200,,
U1011Z3,U1798Z1,2,420,,
U1011Z3,U1798Z2,2,420,,
U1011Z3,U1798Z3,2,420,,
U1011Z3,U1798Z5,2,420,,
U1011Z3,U1798Z6,2,420,,
U1011Z3,U1798Z8,2,420,,
U1011Z3,U1798Z9,2,420,,
U1011Z3,U1798Z61,2,420,,
U1011Z3,U1798Z62,2,420,,
U1011Z3,U10002Z1,2,120,,
U1011Z4,U1011Z1,2,240,,
U1011Z4,U1011Z2,2,240,,
U1011Z4,U1011Z3,2,240,,
